# Source http://www.theguardian.com/news/datablog/2010/oct/16/greatest-films-of-all-time
Entry|Film|Director|Leading actors|Year of cinema release|No of Oscars won|IMDB link|Guardian film page|Country
211|Bonnie & Clyde|Arthur Penn|Faye Dunaway, Gene Hackman, Michael J Pollard, Warren Beatty|1967|2|http://www.imdb.com/title/tt0061418/|http://www.guardian.co.uk/film/movie/76253/bonnie-and-clyde|USA
211|The Conversation|Francis Coppola, Francis Ford Coppola|Allen Garfield, Gene Hackman, John Cazale|1974||http://www.imdb.com/title/tt0071360/|http://www.guardian.co.uk/film/movie/77114/conversation|USA
213|The Killing|Stanley Kubrick| Coleen Gray, Elisha Cook Junior, Jay C Flippen, Sterling Hayden, Vince Edwards|1956||http://www.imdb.com/title/tt0049406/|http://www.guardian.co.uk/film/movie/87920/killing|USA
324|Comedy|The Jerk|Carl Reiner|Steve Martin|1979||http://www.imdb.com/title/tt0079367/|http://www.guardian.co.uk/film/movie/88834/jerk|USA
311|Comedy|Airplane!|Jim Abrahams, David Zucker and Jerry Zucker|Julie Hagerty, Leslie Nielsen, Robert Hays|1980||http://www.imdb.com/title/tt0080339/|http://www.guardian.co.uk/film/movie/83228|USA
312|Comedy|Election|Alexander Payne|Chris Klein, Matthew Broderick, Reese Witherspoon|1999||http://www.imdb.com/title/tt0126886/|http://www.guardian.co.uk/film/movie/79657/election|USA
315|Comedy|This Is Spinal Tap|Rob Reiner| Christopher Guest, Harry Shearer, Michael McKean, Rob Reiner|1984||http://www.imdb.com/title/tt0088258/|http://www.guardian.co.uk/film/movie/81384/this.is.spinal.tap|USA
316|Comedy|Bringing Up Baby|Howard Hawkes|Cary Grant, Katharine Hepburn, Katherine Hepburn|1938||http://www.imdb.com/title/tt0029947/|http://www.guardian.co.uk/film/movie/36143/bringing-up-baby|USA
418|Last of the Mohicans|Michael Mann|Daniel Day-Lewis, Jodhi May, Madeleine Stowe|1992|1|http://www.imdb.com/title/tt0104691/|http://www.guardian.co.uk/film/movie/79330/last-of-the-mohicans|
41|Apocalypse Now|Francis Coppola|Dennis Hopper, Frederic Forrest, Laurence Fishburne, Marlon Brando, Martin Sheen, Robert Duvall, Rpobert Duvall|1979|2|http://www.imdb.com/title/tt0078788/|http://www.guardian.co.uk/film/movie/36320/apocalypse.now|USA
422|Deer Hunter|Michael Cimino|Christopher Walken, Meryl Streep, Robert De Niro|1978|5|http://www.imdb.com/title/tt0077416/|http://www.guardian.co.uk/film/movie/36318/deer-hunter|USA
422|Gladiator|Ridley Scott|Connie Nielsen, Joaquin Phoenix, Oliver Reed, Russell Crowe|2000|5|http://www.imdb.com/title/tt0172495/|http://www.guardian.co.uk/film/movie/83550/gladiator|USA
422|Rome Open City|Roberto Rossellini|Aldo Fabrizi, Anna Magnani, Marcello Pagliero|1945||http://www.imdb.com/title/tt0038890/|http://www.guardian.co.uk/film/movie/78859/rome-open-city|Italy
423|Butch Cassidy|George Roy Hill|Katharine Ross, Paul Newman, Robert Redford|1969|4|http://www.imdb.com/title/tt0064115/|http://www.guardian.co.uk/film/movie/36276/butch-cassidy-and-the-sundance-kid|USA
423|Where Eagles Dare|Brian G. Hutton|Clint Eastwood, Mary Ure, Richard Burton|1968||http://www.imdb.com/title/tt0065207/|http://www.guardian.co.uk/film/movie/83199/where-eagles-dare|USA
425|The Incredibles|Brad Bird|Craig T Nelson, Holly Hunter, Jason Lee, Samuel L Jackson|2004|2|http://www.imdb.com/title/tt0317705/|http://www.guardian.co.uk/film/movie/102423/incredibles|USA
42|North by Northwest|Alfred Hitchcock| Cary Grant, Eva Marie Saint, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G Carroll, Martin Landau|1959||http://www.imdb.com/title/tt0053125/|http://www.guardian.co.uk/film/movie/35095/north-by-northwest|USA
43|Once Upon a Time in the West|Sergio Leone|Charles Bronson, Claudia Cardinale, Henry Fonda, Jason Robards|1968||http://www.imdb.com/title/tt0064116/|http://www.guardian.co.uk/film/movie/36274/once.upon.a.time.in.the.west|Italy
44|The Wild Bunch|Sam Pekinpah|Ernest Borgnine, Robert Ryan, William Holden|1969||http://www.imdb.com/title/tt0065214/|http://www.guardian.co.uk/film/movie/36285/wild.bunch|USA
45|Deliverance|John Boorman |Burt Reynolds, Jon Voight, Ned Beatty|1972||http://www.imdb.com/title/tt0068473/|http://www.guardian.co.uk/film/movie/76560/deliverance|USA
317|Comedy|There’s Something About Mary|Peter & Bob Farrelly|Ben Stiller, Cameron Diaz, Lee Evans, Matt Dillon|1998||http://www.imdb.com/title/tt0129387/|http://www.guardian.co.uk/film/movie/34359/there.s.something.about.mary|USA
318|Comedy|Dazed and Confused|Richard Linklater|Adam Goldberg, Jason London, Joey Lauren Adams, Joey Lauren Adams, Milla Jovovich, Rory Cochrane, Shawn Andrew|1993||http://www.imdb.com/title/tt0106677/|http://www.guardian.co.uk/film/movie/49047/dazed-and-confused|USA
325|Comedy|Shaun of the Dead|Edgar Wright|Dylan Moran, Kate Ashfield, Nick Frost, Simon Pegg|2004||http://www.imdb.com/title/tt0365748/|http://www.guardian.co.uk/film/movie/99960/shaun.of.the.dead|UK
328|Comedy|MASH|Robert Altman|Donald Sutherland, Elliott Gould, Sally Kellerman|1970|1|http://www.imdb.com/title/tt0066026/|http://www.guardian.co.uk/film/movie/84547|USA
33|Comedy|Borat|Larry Charles|Ken Davitian, Pamela Anderson , Sacha Baron Cohen|2006||http://www.imdb.com/title/tt0443453/|http://www.guardian.co.uk/film/movie/114557/borat|USA
33|Comedy|Some Like it Hot|Billy Wilder|George Raft, Jack Lemmon, Joe E Brown, Marilyn Monroe, Tony Curtis|1959|1|http://www.imdb.com/title/tt0053291/|http://www.guardian.co.uk/film/movie/36223/some.like.it.hot|USA
342|Comedy|The Big Lebowski|Joel Coen|Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi|1998||http://www.imdb.com/title/tt0118715/|http://www.guardian.co.uk/film/movie/77069/big.lebowski|USA
34|Comedy|Team America|Trey Parker|Kristen Miller, Matt Stone, Trey Parker|2004||http://www.imdb.com/title/tt0372588/|http://www.guardian.co.uk/film/movie/103000/team.america|USA
35|Comedy|Dr Strangelove|Stanley Kubrick|George C Scott, Peter Sellers, Sterling Hayden|1964||http://www.imdb.com/title/tt0057012/|http://www.guardian.co.uk/film/movie/76390/dr-strangelove|UK
362|Comedy|His Girl Friday|Howard Hawkes|Cary Grant, Gene Lockhart, Ralph Bellamy, Rosalind Russell|1940||http://www.imdb.com/title/tt0032599/|http://www.guardian.co.uk/film/movie/76369/his-girl-friday|USA
36|Comedy|The Ladykillers|Alexander Mackendrick|Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers|1955||http://www.imdb.com/title/tt0048281/|http://www.guardian.co.uk/film/movie/36206/ladykillers|UK
61|2001|Stanley Kubrick|Daniel Richter, Gary Lockwood, Keir Dullea, William Sylvester|1968|1|http://www.imdb.com/title/tt0062622/|http://www.guardian.co.uk/film/movie/36269/2001|USA
620|Day the Earth Stood Still|Robert Wise|Hugh Marlowe, Lock Martin, Michael Rennie, Patricia Neal|1951||http://www.imdb.com/title/tt0043456/|http://www.guardian.co.uk/film/movie/82253/day-the-earth-stood-still|USA
621|Edward Scissorhands|Tim Burton|Dianne Wiest, Johnny Depp, Winona Ryder|1990||http://www.imdb.com/title/tt0099487/|http://www.guardian.co.uk/film/movie/82335/edward.scissorhands|USA
622|Akira|Katsuhiro Otomo|Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tessho Genda|1988||http://www.imdb.com/title/tt0094625/|http://www.guardian.co.uk/film/movie/76882/akira|Japan
623|Princess Bride|Rob reiner|Billy Crystal, Carty Elwes, Cary Elwes, Mandy Patinkin, Peter Falk, Robin Wright|1987||http://www.imdb.com/title/tt0093779/|http://www.guardian.co.uk/film/movie/77070/princess-bride|USA
624|Pan’s Labyrinth|Guillermo del Toro| Ariadna Gil, Doug Jones, Ivana Baquero, Maribel Verdu, Sergi Lopez|2006|3|http://www.imdb.com/title/tt0457430/|http://www.guardian.co.uk/film/movie/112345/pan.s.labyrinth|Spain
625|Starship Troopers|Paul Verhoeven|Casper Van Dien, Clancy Brown, Dina Meyer, Jake Busey, Michael Ironside|1997||http://www.imdb.com/title/tt0120201/|http://www.guardian.co.uk/film/movie/71806/starship-troopers|USA
62|Metropolis|Fritz Lang|Alfred Abel, Brigitte Helm, Gustav Frohlich, Gustav Fruhlich|1927||http://www.imdb.com/title/tt0017136/|http://www.guardian.co.uk/film/movie/75782/metropolis|Germany
63|Blade Runner|Ridley Scott|Harrison Ford, Rutger Hauer, Sean Young|1982||http://www.imdb.com/title/tt0083658/|http://www.guardian.co.uk/film/movie/76627/blade-runner|USA
